,date,^spx_zamkniecie,aapl.us_zamkniecie,mcd.us_zamkniecie,msft.us_zamkniecie
130,2000-07-10,1475.62,0.869448,22.9232,28.0059
131,2000-07-11,1480.88,0.866756,23.1534,27.8917
132,2000-07-12,1492.92,0.896166,22.7442,28.3096
133,2000-07-13,1495.84,0.859976,22.3892,28.1737
134,2000-07-14,1509.98,0.878021,22.3006,27.8253
135,2000-07-17,1510.49,0.887892,22.2525,27.5671
136,2000-07-18,1493.74,0.871343,22.2525,27.6723
137,2000-07-19,1481.96,0.801854,22.3006,25.7712
138,2000-07-20,1495.57,0.839041,22.5249,26.3689
139,2000-07-21,1480.19,0.815412,21.9466,25.4872
140,2000-07-24,1464.29,0.74104,21.4941,24.8797
141,2000-07-25,1474.47,0.762076,22.2525,24.3178
142,2000-07-26,1452.42,0.762076,22.5249,23.9008
143,2000-07-27,1449.62,0.791386,22.879,24.4528
144,2000-07-28,1419.89,0.735557,22.7442,24.563
145,2000-07-31,1430.83,0.773541,22.5249,24.6116
146,2000-08-01,1438.1,0.75071,23.1957,24.2086
147,2000-08-02,1438.7,0.718907,23.774,24.4528
148,2000-08-03,1452.56,0.730472,23.6373,24.7645
149,2000-08-04,1462.93,0.721201,23.7317,24.3694
150,2000-08-07,1479.32,0.729675,23.9097,24.6703
151,2000-08-08,1482.8,0.711829,23.8183,26.1266
152,2000-08-09,1472.87,0.722995,23.238,26.1732
153,2000-08-10,1460.25,0.723792,23.3235,25.5995
154,2000-08-11,1471.84,0.725786,23.774,25.5378
155,2000-08-14,1491.56,0.716215,23.6835,25.4435
156,2000-08-15,1484.43,0.710632,23.059,25.2461
157,2000-08-16,1479.85,0.738248,23.0187,25.0256
158,2000-08-17,1496.07,0.783012,22.2073,25.2212
159,2000-08-18,1491.72,0.761278,22.4394,25.0256
160,2000-08-21,1499.48,0.768656,22.4394,24.8925
161,2000-08-22,1498.13,0.786501,22.2525,25.1139
162,2000-08-23,1505.97,0.826977,22.167,24.9392
163,2000-08-24,1508.31,0.853696,21.5896,25.0732
164,2000-08-25,1506.45,0.864862,21.5896,24.8925
165,2000-08-28,1514.09,0.883904,21.5896,25.1369
166,2000-08-29,1509.84,0.900753,21.6329,25.0038
167,2000-08-30,1502.59,0.905538,21.5896,24.6703
168,2000-08-31,1517.68,0.92757,21.2285,24.6116
169,2000-09-01,1520.77,0.965654,21.0084,24.7417
170,2000-09-05,1507.08,0.950501,21.0919,24.7178
171,2000-09-06,1492.25,0.889686,21.4056,24.4756
172,2000-09-07,1502.51,0.943821,20.9543,24.696
173,2000-09-08,1494.5,0.896166,20.4202,24.43
174,2000-09-11,1489.26,0.889686,20.1595,24.2542
175,2000-09-12,1481.99,0.879318,20.5992,24.012
176,2000-09-13,1484.91,0.883006,19.3048,24.0617
177,2000-09-14,1480.87,0.86546,19.3501,23.1949
178,2000-09-15,1465.81,0.840537,19.8841,22.631
179,2000-09-18,1444.51,0.923185,20.2412,22.2061
180,2000-09-19,1459.9,0.912416,19.7976,22.912
181,2000-09-20,1451.34,0.929066,19.6619,22.647
182,2000-09-21,1449.05,0.862669,19.1681,22.631
183,2000-09-22,1448.72,0.794178,20.3778,22.2925
184,2000-09-25,1439.03,0.814416,20.9149,21.5907
185,2000-09-26,1427.21,0.783012,21.2285,22.092
186,2000-09-27,1426.57,0.744928,21.2285,21.3733
187,2000-09-28,1458.29,0.814416,21.2285,21.6145
188,2000-09-29,1436.51,0.392163,21.4519,21.262
189,2000-10-02,1436.23,0.369015,21.3644,20.8391
190,2000-10-03,1426.46,0.339495,21.4941,19.9337
191,2000-10-04,1434.32,0.359534,21.3161,19.5416
192,2000-10-05,1436.28,0.335756,21.4056,19.5148
193,2000-10-06,1408.99,0.337949,21.2285,19.5902
194,2000-10-09,1402.03,0.33119,21.3644,19.1008
195,2000-10-10,1387.02,0.317781,21.2719,19.2349
196,2000-10-11,1364.59,0.298629,21.3161,19.6508
197,2000-10-12,1329.78,0.304541,20.1595,19.1663
198,2000-10-13,1374.17,0.335756,20.5146,18.947
199,2000-10-16,1374.62,0.327312,20.5992,17.7566
200,2000-10-17,1349.97,0.306286,19.8841,17.7815
201,2000-10-18,1342.13,0.306286,19.9353,18.2451
202,2000-10-19,1388.76,0.288321,19.7976,21.813
203,2000-10-20,1396.93,0.296755,20.0642,22.9756
204,2000-10-23,1395.78,0.310223,20.6936,21.9004
205,2000-10-24,1398.13,0.287383,20.6936,21.6771
206,2000-10-25,1364.9,0.281561,20.5992,21.5907
207,2000-10-26,1364.44,0.281561,20.5568,22.7135
208,2000-10-27,1379.58,0.282518,21.1371,23.8621
209,2000-10-30,1398.66,0.293893,22.167,24.3426
210,2000-10-31,1429.4,0.297752,22.0272,24.2791
211,2000-11-01,1421.22,0.312068,22.4797,24.5372
212,2000-11-02,1428.32,0.339495,22.7009,24.7824
213,2000-11-03,1426.69,0.338567,23.0187,24.0617
214,2000-11-06,1432.19,0.326335,22.7442,24.5015
215,2000-11-07,1431.87,0.324231,22.5662,24.8549
216,2000-11-08,1409.28,0.305329,22.4797,24.4756
217,2000-11-09,1400.14,0.307452,22.5662,24.9869
218,2000-11-10,1365.98,0.290095,23.5124,23.7529
219,2000-11-13,1351.26,0.294941,23.6373,23.4144
220,2000-11-14,1382.95,0.30799,23.9097,24.2542
221,2000-11-15,1389.81,0.302607,23.8183,24.696
222,2000-11-16,1372.32,0.289238,23.3766,24.2999
223,2000-11-17,1367.72,0.281561,23.9097,24.3426
224,2000-11-20,1342.62,0.288321,23.953,23.6835
